65705,1618612,1
65706,1621829,1
65706,1621830,2
65707,1760064,1
65707,1760065,2
65708,1620680,1
65708,1620681,2
65709,1621059,1
65709,1621060,2
65709,1621061,3
65710,1621644,1
65711,1620382,1
65711,1620383,2
65712,1620625,1
65712,1620626,2
65713,1629107,1
65713,1629108,2
65715,1616399,1
65715,1616400,2
65715,1616401,3
65716,1616056,1
65716,1616057,2
65717,1483803,1
65717,1483804,2
65717,1483805,3
65717,1483806,4
65718,1616788,1
65718,1616789,2
65719,1615108,1
65720,1615999,1
65720,1616000,2
65721,1616804,1
65721,1616805,2
65723,1618682,1
65724,1619261,1
65724,1619262,2
65725,1621380,1
65725,1621381,2
65726,1618881,1
65726,1618882,2
65727,1619020,1
65727,1619021,2
65728,1618743,1
65729,1618784,1
65730,1618903,1
65730,1618904,2
65731,1615638,1
65732,1619234,1
65732,1619235,2
65733,1618566,1
65734,1619224,1
65735,1618934,1
65735,1618935,2
65737,1628480,1
65737,1628481,2
65737,1628482,3
65738,1628874,1
65738,1628875,2
65739,1628325,1
65740,1625735,1
65741,1621910,1
65741,1621911,2
65742,1621649,1
65742,1621650,2
65743,1621819,1
65744,1627435,1
65744,1627436,2
65745,1622643,1
65745,1622645,2
65746,1621628,1
65747,1626447,1
65747,1626448,2
65748,1628563,1
65749,1627215,1
65749,1627216,2
65750,1627483,1
65751,1621808,1
65752,1625798,1
65752,1625799,2
65753,1622151,1
65753,1622152,2
65755,1621527,1
65755,1621528,2
65755,1621529,3
65756,1620306,1
65756,1620307,2
65757,1629003,1
65757,1629004,2
65758,1620876,1
65758,1620877,2
65758,1620878,3
65759,1621668,1
65759,1621669,2
65762,1309588,1
65763,1604555,1
65763,1604556,2
65763,1604558,3
65764,1604566,1
65764,1604567,2
65765,1604586,1
65766,1604660,1
65766,1604661,2
65766,1604662,3
65766,1604668,4
65767,1604691,1
65767,1604692,2
65768,1614918,1
65768,1614919,2
65768,1614920,3
65769,1614947,1
65769,1614948,2
65769,1614952,3
65770,1604815,1
65771,1604832,1
65772,1604479,1
65772,1604480,2
65773,1604706,1
65773,1604707,2
65773,1604708,3
65774,1604606,1
65774,1604607,2
65775,1604632,1
65776,1604730,1
65776,1604731,2
65777,1604709,1
65778,1604524,1
65779,1604506,1
65781,1604842,1
65781,1604843,2
65782,1605346,1
65782,1605347,2
65783,1605332,1
65783,1605333,2
65784,1604857,1
65785,1606451,1
65785,1606452,2
65786,1606431,1
65786,1606432,2
65787,1606428,1
65787,1606429,2
65788,1606412,1
65788,1606413,2
65789,1605351,1
65789,1605352,2
65789,1605353,3
65789,1605355,4
65790,1606444,1
65790,1606445,2
65791,1608440,1
65791,1608441,2
65792,1604871,1
65793,1607797,1
65794,1605019,1
65794,1605020,2
65795,1606454,1
65797,1606472,1
65798,1606483,1
65798,1606484,2
65799,1606595,1
65799,1606596,2
65800,1606630,1
65800,1606631,2
65800,1606636,3
65801,1606469,1
65802,1606466,1
65802,1606467,2
65803,1610149,1
65804,1606479,1
65804,1606480,2
65805,1606611,1
65807,1602722,1
65807,1602723,2
65808,1602693,1
65809,1602852,1
65809,1602853,2
65810,1604491,1
65810,1604492,2
65811,1602698,1
65811,1602699,2
65813,1606719,1
65813,1606720,2
65814,1606659,1
65814,1606660,2
65815,1606684,1
65816,1618193,1
65817,1618230,1
65817,1618231,2
65818,1606743,1
65819,1618263,1
65819,1618264,2
65820,1606745,1
65821,1606700,1
65824,1639751,1
65824,1639752,2
65824,1639753,3
65825,1641565,1
65825,1641566,2
65826,1640433,1
65826,1640434,2
65827,1640919,1
65827,1640920,2
65828,1640925,1
65828,1640926,2
65829,1641125,1
65829,1641126,2
65830,1640759,1
65830,1640760,2
65831,1639901,1
65832,1639854,1
65833,1639896,1
