26141,"JAWA BARAT",32472,"KOTA DEPOK",3276,32
26141,"JAWA BARAT",32152,"KOTA SUKABUMI",3202,32
26141,"JAWA BARAT",32566,"KOTA TASIKMALAYA",3206,32
26141,"JAWA BARAT",28960,"KUNINGAN",3208,32
26141,"JAWA BARAT",29834,"MAJALENGKA",3210,32
26141,"JAWA BARAT",927964,"PANGANDARAN",3218,32
26141,"JAWA BARAT",31135,"PURWAKARTA",3214,32
26141,"JAWA BARAT",30851,"SUBANG",3213,32
26141,"JAWA BARAT",26611,"SUKABUMI",3272,32
26141,"JAWA BARAT",30197,"SUMEDANG",3211,32
26141,"JAWA BARAT",28182,"TASIKMALAYA",3278,32
32676,"JAWA TENGAH",33603,"BANJARNEGARA",3304,33
32676,"JAWA TENGAH",32986,"BANYUMAS",3302,33
32676,"JAWA TENGAH",40053,"BATANG",3325,33
32676,"JAWA TENGAH",37514,"BLORA",3316,33
32676,"JAWA TENGAH",35575,"BOYOLALI",3309,33
32676,"JAWA TENGAH",41165,"BREBES",3329,33
32676,"JAWA TENGAH",32677,"CILACAP",3301,33
32676,"JAWA TENGAH",38917,"DEMAK",3321,33
32676,"JAWA TENGAH",37214,"GROBOGAN",3315,33
32676,"JAWA TENGAH",38706,"JEPARA",3320,33
32676,"JAWA TENGAH",36790,"KARANGANYAR",3313,33
32676,"JAWA TENGAH",33902,"KEBUMEN",3305,33
32676,"JAWA TENGAH",39746,"KENDAL",3324,33
32676,"JAWA TENGAH",35862,"KLATEN",3310,33
32676,"JAWA TENGAH",41480,"KOTA MAGELANG",3308,33
32676,"JAWA TENGAH",41779,"KOTA PEKALONGAN",3326,33
32676,"JAWA TENGAH",41558,"KOTA SALATIGA",3373,33
32676,"JAWA TENGAH",41585,"KOTA SEMARANG",3322,33
32676,"JAWA TENGAH",41501,"KOTA SURAKARTA",3372,33
32676,"JAWA TENGAH",41831,"KOTA TEGAL",3328,33
32676,"JAWA TENGAH",38564,"KUDUS",3319,33
32676,"JAWA TENGAH",35181,"MAGELANG",3371,33
32676,"JAWA TENGAH",38136,"PATI",3318,33
32676,"JAWA TENGAH",40317,"PEKALONGAN",3375,33
32676,"JAWA TENGAH",40622,"PEMALANG",3327,33
32676,"JAWA TENGAH",33345,"PURBALINGGA",3303,33
32676,"JAWA TENGAH",34389,"PURWOREJO",3306,33
32676,"JAWA TENGAH",37826,"REMBANG",3317,33
32676,"JAWA TENGAH",39181,"SEMARANG",3374,33
32676,"JAWA TENGAH",36985,"SRAGEN",3314,33
32676,"JAWA TENGAH",36290,"SUKOHARJO",3311,33
32676,"JAWA TENGAH",40859,"TEGAL",3376,33
32676,"JAWA TENGAH",39436,"TEMANGGUNG",3323,33
32676,"JAWA TENGAH",36470,"WONOGIRI",3312,33
32676,"JAWA TENGAH",34900,"WONOSOBO",3307,33
42385,"JAWA TIMUR",50031,"BANGKALAN",3526,35
42385,"JAWA TIMUR",44923,"BANYUWANGI",3510,35
42385,"JAWA TIMUR",43360,"BLITAR",3572,35
42385,"JAWA TIMUR",48347,"BOJONEGORO",3522,35
42385,"JAWA TIMUR",45165,"BONDOWOSO",3511,35
42385,"JAWA TIMUR",49656,"GRESIK",3525,35
42385,"JAWA TIMUR",44643,"JEMBER",3509,35
42385,"JAWA TIMUR",47001,"JOMBANG",3517,35
42385,"JAWA TIMUR",43630,"KEDIRI",3571,35
42385,"JAWA TIMUR",51550,"KOTA BATU",3579,35
42385,"JAWA TIMUR",51145,"KOTA BLITAR",3505,35
42385,"JAWA TIMUR",51095,"KOTA KEDIRI",3506,35
42385,"JAWA TIMUR",51327,"KOTA MADIUN",3519,35
42385,"JAWA TIMUR",51170,"KOTA MALANG",3507,35
42385,"JAWA TIMUR",51306,"KOTA MOJOKERTO",3516,35
42385,"JAWA TIMUR",51268,"KOTA PASURUAN",3514,35
42385,"JAWA TIMUR",51233,"KOTA PROBOLINGGO",3513,35
42385,"JAWA TIMUR",51358,"KOTA SURABAYA",3578,35
42385,"JAWA TIMUR",49154,"LAMONGAN",3524,35
42385,"JAWA TIMUR",44417,"LUMAJANG",3508,35
42385,"JAWA TIMUR",47634,"MADIUN",3577,35
42385,"JAWA TIMUR",47856,"MAGETAN",3520,35
42385,"JAWA TIMUR",43993,"MALANG",3573,35
42385,"JAWA TIMUR",46678,"MOJOKERTO",3576,35
42385,"JAWA TIMUR",47329,"NGANJUK",3518,35
42385,"JAWA TIMUR",48110,"NGAWI",3521,35
42385,"JAWA TIMUR",42386,"PACITAN",3501,35
42385,"JAWA TIMUR",50532,"PAMEKASAN",3528,35
42385,"JAWA TIMUR",45916,"PASURUAN",3575,35
42385,"JAWA TIMUR",42570,"PONOROGO",3502,35
42385,"JAWA TIMUR",45561,"PROBOLINGGO",3574,35
42385,"JAWA TIMUR",50331,"SAMPANG",3527,35
42385,"JAWA TIMUR",46306,"SIDOARJO",3515,35
42385,"JAWA TIMUR",45407,"SITUBONDO",3512,35
42385,"JAWA TIMUR",50735,"SUMENEP",3529,35
42385,"JAWA TIMUR",42897,"TRENGGALEK",3503,35
42385,"JAWA TIMUR",48805,"TUBAN",3523,35
42385,"JAWA TIMUR",43069,"TULUNGAGUNG",3504,35
58285,"KALIMANTAN BARAT",59557,"BENGKAYANG",6102,61
58285,"KALIMANTAN BARAT",59320,"KAPUAS HULU",6108,61
58285,"KALIMANTAN BARAT",60134,"KAYONG UTARA",6111,61
58285,"KALIMANTAN BARAT",58749,"KETAPANG",6106,61
58285,"KALIMANTAN BARAT",60183,"KOTA PONTIANAK",6104,61
58285,"KALIMANTAN BARAT",60223,"KOTA SINGKAWANG",6172,61
58285,"KALIMANTAN BARAT",60255,"KUBU RAYA",6112,61
58285,"KALIMANTAN BARAT",59699,"LANDAK",6103,61
58285,"KALIMANTAN BARAT",59953,"MELAWI",6110,61
58285,"KALIMANTAN BARAT",58490,"PONTIANAK",6171,61
58285,"KALIMANTAN BARAT",58286,"SAMBAS",6101,61
58285,"KALIMANTAN BARAT",58567,"SANGGAU",6105,61
58285,"KALIMANTAN BARAT",59869,"SEKADAU",6109,61
58285,"KALIMANTAN BARAT",59018,"SINTANG",6107,61
61965,"KALIMANTAN SELATAN",63866,"BALANGAN",6311,63
61965,"KALIMANTAN SELATAN",62333,"BANJAR",6303,63
61965,"KALIMANTAN SELATAN",62643,"BARITO KUALA",6304,63
61965,"KALIMANTAN SELATAN",63007,"HULU SUNGAI SELATAN",6306,63
61965,"KALIMANTAN SELATAN",63167,"HULU SUNGAI TENGAH",6307,63
61965,"KALIMANTAN SELATAN",63348,"HULU SUNGAI UTARA",6308,63
61965,"KALIMANTAN SELATAN",64085,"KOTA BANJARBARU",6372,63
61965,"KALIMANTAN SELATAN",64027,"KOTA BANJARMASIN",6371,63
61965,"KALIMANTAN SELATAN",62112,"KOTABARU",6302,63
61965,"KALIMANTAN SELATAN",63578,"TABALONG",6309,63
61965,"KALIMANTAN SELATAN",63722,"TANAH BUMBU",6310,63
61965,"KALIMANTAN SELATAN",61966,"TANAH LAUT",6301,63
61965,"KALIMANTAN SELATAN",62861,"TAPIN",6305,63
60371,"KALIMANTAN TENGAH",60867,"BARITO SELATAN",6204,62
60371,"KALIMANTAN TENGAH",61846,"BARITO TIMUR",6212,62
60371,"KALIMANTAN TENGAH",60967,"BARITO UTARA",6205,62
60371,"KALIMANTAN TENGAH",61492,"GUNUNG MAS",6211,62
60371,"KALIMANTAN TENGAH",60653,"KAPUAS",6203,62
60371,"KALIMANTAN TENGAH",61077,"KATINGAN",6209,62
60371,"KALIMANTAN TENGAH",61929,"KOTA PALANGKARAYA",6271,62
60371,"KALIMANTAN TENGAH",60372,"KOTAWARINGIN BARAT",6201,62
60371,"KALIMANTAN TENGAH",60468,"KOTAWARINGIN TIMUR",6202,62
60371,"KALIMANTAN TENGAH",61400,"LAMANDAU",6207,62
60371,"KALIMANTAN TENGAH",61711,"MURUNG RAYA",6213,62
60371,"KALIMANTAN TENGAH",61614,"PULANG PISAU",6210,62
60371,"KALIMANTAN TENGAH",61251,"SERUYAN",6208,62
60371,"KALIMANTAN TENGAH",61362,"SUKAMARA",6206,62
64111,"KALIMANTAN TIMUR",64496,"BERAU",6405,64
64111,"KALIMANTAN TIMUR",65528,"KOTA BALIKPAPAN",6471,64
64111,"KALIMANTAN TIMUR",65656,"KOTA BONTANG",6474,64
64111,"KALIMANTAN TIMUR",65567,"KOTA SAMARINDA",6472,64
64111,"KALIMANTAN TIMUR",65069,"KUTAI BARAT",6402,64
64111,"KALIMANTAN TIMUR",64248,"KUTAI KARTANEGARA",6403,64
64111,"KALIMANTAN TIMUR",65315,"KUTAI TIMUR",6404,64
64111,"KALIMANTAN TIMUR",928073,"MAHAKAM ULU",6411,64
64111,"KALIMANTAN TIMUR",64112,"PASER",6401,64
64111,"KALIMANTAN TIMUR",65469,"PENAJAM PASER UTARA",6409,64
928068,"KALIMANTAN UTARA",64617,"BULUNGAN",6502,65
928068,"KALIMANTAN UTARA",65631,"KOTA TARAKAN",6571,65
928068,"KALIMANTAN UTARA",64949,"MALINAU",6501,65
928068,"KALIMANTAN UTARA",64709,"NUNUKAN",6504,65
928068,"KALIMANTAN UTARA",65675,"TANA TIDUNG",6503,65
24993,"KEPULAUAN BANGKA BELITUNG",24994,"BANGKA",1901,19
24993,"KEPULAUAN BANGKA BELITUNG",25245,"BANGKA BARAT",1903,19
24993,"KEPULAUAN BANGKA BELITUNG",25120,"BANGKA SELATAN",1905,19
24993,"KEPULAUAN BANGKA BELITUNG",25181,"BANGKA TENGAH",1904,19
24993,"KEPULAUAN BANGKA BELITUNG",25072,"BELITUNG",1902,19
24993,"KEPULAUAN BANGKA BELITUNG",25316,"BELITUNG TIMUR",1906,19
24993,"KEPULAUAN BANGKA BELITUNG",25363,"KOTA PANGKALPINANG",1971,19
25405,"KEPULAUAN RIAU",25471,"BINTAN",2102,21
25405,"KEPULAUAN RIAU",25533,"KARIMUN",2101,21
25405,"KEPULAUAN RIAU",25429,"KEPULAUAN ANAMBAS",2105,21
25405,"KEPULAUAN RIAU",25746,"KOTA BATAM",2171,21
25405,"KEPULAUAN RIAU",25406,"KOTA TANJUNGPINANG",2172,21
25405,"KEPULAUAN RIAU",25683,"LINGGA",2104,21
25405,"KEPULAUAN RIAU",25597,"NATUNA",2103,21
22328,"LAMPUNG",24709,"KOTA BANDAR LAMPUNG",1871,18
22328,"LAMPUNG",24822,"KOTA METRO",1872,18
22328,"LAMPUNG",23460,"LAMPUNG BARAT",1801,18
22328,"LAMPUNG",22605,"LAMPUNG SELATAN",1803,18
22328,"LAMPUNG",22875,"LAMPUNG TENGAH",1805,18
22328,"LAMPUNG",24202,"LAMPUNG TIMUR",1804,18
22328,"LAMPUNG",23189,"LAMPUNG UTARA",1806,18
22328,"LAMPUNG",22439,"MESUJI",1811,18
22328,"LAMPUNG",24850,"PESAWARAN",1809,18
22328,"LAMPUNG",928071,"PESISIR BARAT",1813,18
22328,"LAMPUNG",22329,"PRINGSEWU",1810,18
22328,"LAMPUNG",23903,"TANGGAMUS",1802,18
